Outer Repeat,Fold,Inner Repeat,Split,Experiment
1,1,1.0,Inner Train,"(10, 10, 10, 3)"
1,1,1.0,Inner Train,"(10, 10, 15, 1)"
1,1,1.0,Inner Train,"(10, 10, 15, 2)"
1,1,1.0,Inner Train,"(10, 10, 15, 3)"
1,1,1.0,Inner Train,"(10, 10, 20, 1)"
1,1,1.0,Inner Train,"(10, 10, 20, 3)"
1,1,1.0,Inner Train,"(10, 16, 10, 1)"
1,1,1.0,Inner Train,"(10, 16, 10, 2)"
1,1,1.0,Inner Train,"(10, 16, 15, 3)"
1,1,1.0,Inner Train,"(10, 16, 20, 1)"
1,1,1.0,Inner Train,"(10, 16, 20, 2)"
1,1,1.0,Inner Train,"(10, 25, 10, 2)"
1,1,1.0,Inner Train,"(10, 25, 15, 1)"
1,1,1.0,Inner Train,"(10, 25, 15, 2)"
1,1,1.0,Inner Train,"(10, 25, 15, 3)"
1,1,1.0,Inner Train,"(10, 25, 20, 1)"
1,1,1.0,Inner Train,"(10, 40, 10, 2)"
1,1,1.0,Inner Train,"(10, 40, 10, 3)"
1,1,1.0,Inner Train,"(10, 40, 15, 1)"
1,1,1.0,Inner Train,"(10, 40, 15, 3)"
1,1,1.0,Inner Train,"(10, 40, 20, 1)"
1,1,1.0,Inner Train,"(10, 40, 20, 3)"
1,1,1.0,Inner Train,"(10, 63, 10, 2)"
1,1,1.0,Inner Train,"(10, 63, 10, 3)"
1,1,1.0,Inner Train,"(10, 63, 15, 1)"
1,1,1.0,Inner Train,"(10, 63, 20, 1)"
1,1,1.0,Inner Train,"(10, 63, 20, 2)"
1,1,1.0,Inner Train,"(10, 100, 10, 2)"
1,1,1.0,Inner Train,"(10, 100, 15, 1)"
1,1,1.0,Inner Train,"(10, 100, 15, 2)"
1,1,1.0,Inner Train,"(10, 100, 15, 3)"
1,1,1.0,Inner Train,"(10, 100, 20, 2)"
1,1,1.0,Inner Train,"(10, 100, 20, 3)"
1,1,1.0,Inner Train,"(15, 10, 10, 1)"
1,1,1.0,Inner Train,"(15, 10, 10, 2)"
1,1,1.0,Inner Train,"(15, 10, 15, 1)"
1,1,1.0,Inner Train,"(15, 10, 15, 2)"
1,1,1.0,Inner Train,"(15, 10, 15, 3)"
1,1,1.0,Inner Train,"(15, 10, 20, 1)"
1,1,1.0,Inner Train,"(15, 10, 20, 2)"
1,1,1.0,Inner Train,"(15, 10, 20, 3)"
1,1,1.0,Inner Train,"(15, 16, 10, 1)"
1,1,1.0,Inner Train,"(15, 16, 10, 2)"
1,1,1.0,Inner Train,"(15, 16, 15, 3)"
1,1,1.0,Inner Train,"(15, 16, 20, 2)"
1,1,1.0,Inner Train,"(15, 16, 20, 3)"
1,1,1.0,Inner Train,"(15, 25, 10, 1)"
1,1,1.0,Inner Train,"(15, 25, 10, 2)"
1,1,1.0,Inner Train,"(15, 25, 15, 1)"
1,1,1.0,Inner Train,"(15, 25, 15, 2)"
1,1,1.0,Inner Train,"(15, 25, 15, 3)"
1,1,1.0,Inner Train,"(15, 25, 20, 1)"
1,1,1.0,Inner Train,"(15, 25, 20, 2)"
1,1,1.0,Inner Train,"(15, 25, 20, 3)"
1,1,1.0,Inner Train,"(15, 40, 10, 1)"
1,1,1.0,Inner Train,"(15, 40, 10, 2)"
1,1,1.0,Inner Train,"(15, 40, 10, 3)"
1,1,1.0,Inner Train,"(15, 40, 15, 1)"
1,1,1.0,Inner Train,"(15, 40, 15, 2)"
1,1,1.0,Inner Train,"(15, 40, 15, 3)"
1,1,1.0,Inner Train,"(15, 40, 20, 2)"
1,1,1.0,Inner Train,"(15, 63, 10, 3)"
1,1,1.0,Inner Train,"(15, 63, 15, 1)"
1,1,1.0,Inner Train,"(15, 63, 20, 1)"
1,1,1.0,Inner Train,"(15, 63, 20, 2)"
1,1,1.0,Inner Train,"(15, 100, 10, 2)"
1,1,1.0,Inner Train,"(15, 100, 10, 3)"
