Model,Outer Repeat,Fold,Training Seed,MAE,MSE,RMSE,R²,Inner Repeats,Validation RMSE Mean,Validation RMSE Std,Inner Best Epochs,Best Epoch,Training Loss
LSTM,1,1,42,6.782995700836182,94.1593246459961,9.703572777384425,0.9984272122383118,1,10.207123935189594,0.0,5,5,mse
GRU,1,1,42,7.128309726715088,90.78424072265625,9.528076443997302,0.9984499216079712,1,11.24771637521264,0.0,9,9,mse
RNN,1,1,42,7.385234355926514,104.82854461669922,10.238581181819052,0.9982489943504333,1,11.045499853632771,0.0,13,13,mse
TCN,1,1,42,6.871792793273926,89.01891326904297,9.434983480062007,0.9984840750694275,1,9.58391173455506,0.0,14,14,mse
LSTM,1,2,42,5.429418563842773,69.92440032958984,8.362081100395393,0.9983852505683899,1,5.373684389433039,0.0,27,27,mse
GRU,1,2,42,9.21762752532959,133.07167053222656,11.535669487820225,0.9968666434288025,1,9.437744945858938,0.0,15,15,mse
RNN,1,2,42,7.767935752868652,138.013427734375,11.74791163289778,0.9968128800392151,1,11.27286359419297,0.0,4,4,mse
TCN,1,2,42,5.9609599113464355,76.17655944824219,8.727918391474693,0.9982108473777771,1,7.226079481323891,0.0,12,12,mse
LSTM,1,3,42,6.497312545776367,91.29571533203125,9.554879137489456,0.9982801675796509,1,9.995527030022487,0.0,15,15,mse
GRU,1,3,42,8.829245567321777,200.71405029296875,14.167358620892207,0.9961474537849426,1,9.95473382184914,0.0,20,20,mse
RNN,1,3,42,13.32928466796875,326.15203857421875,18.059679913393225,0.993855893611908,1,7.510076239106199,0.0,24,24,mse
TCN,1,3,42,7.260173320770264,129.4098663330078,11.375845741438647,0.9975225329399109,1,8.334742109111152,0.0,26,26,mse
LSTM,1,4,42,6.382222652435303,71.54122161865234,8.458204396835793,0.9977470636367798,1,9.146809890040942,0.0,6,6,mse
GRU,1,4,42,5.935403347015381,65.2109603881836,8.075330357835746,0.9979053139686584,1,10.15785481611802,0.0,17,17,mse
RNN,1,4,42,5.155882835388184,47.37588882446289,6.883014515781794,0.9985080361366272,1,8.13406101577794,0.0,28,28,mse
TCN,1,4,42,5.599094390869141,50.302242279052734,7.092407368380128,0.9983882308006287,1,8.690182498117398,0.0,13,13,mse
LSTM,1,5,42,6.18648099899292,135.2833709716797,11.631137991257765,0.9972536563873291,1,7.427599303597019,0.0,22,22,mse
GRU,1,5,42,8.14706802368164,224.35736083984375,14.978563377034654,0.9953649640083313,1,6.64149063751381,0.0,20,20,mse
RNN,1,5,42,9.715523719787598,228.0066680908203,15.099889671478408,0.9953712821006775,1,6.888511558508066,0.0,10,10,mse
TCN,1,5,42,7.525394916534424,193.28759765625,13.902791002394087,0.996016800403595,1,8.217073334798291,0.0,15,15,mse
