Model,Outer Repeat,Fold,Experiment,Density,Cutting Speed,Feed Rate,Experiment ID,MAE,MSE,RMSE,Window Count
LSTM,1,1,"(10, 10, 10, 1)",10,10,10,1,5.98911190032959,42.67769241333008,6.532816575821648,179
LSTM,1,1,"(10, 16, 10, 3)",10,16,10,3,3.925636053085327,21.684267044067383,4.656636881276807,179
LSTM,1,1,"(10, 16, 15, 2)",10,16,15,2,4.202698230743408,22.83521270751953,4.7786203770041755,179
LSTM,1,1,"(10, 16, 20, 3)",10,16,20,3,4.88650369644165,32.685340881347656,5.717109486562913,179
LSTM,1,1,"(10, 25, 10, 3)",10,25,10,3,5.896852016448975,40.83915328979492,6.390551876778321,179
LSTM,1,1,"(10, 25, 20, 3)",10,25,20,3,4.027697563171387,20.777164459228516,4.558197501121306,179
LSTM,1,1,"(10, 40, 10, 1)",10,40,10,1,5.39646577835083,35.16679382324219,5.930159679405116,179
LSTM,1,1,"(10, 40, 15, 2)",10,40,15,2,2.0453758239746094,6.123856544494629,2.4746427104724895,179
LSTM,1,1,"(10, 40, 20, 2)",10,40,20,2,5.935606956481934,38.56057357788086,6.209716062581353,179
LSTM,1,1,"(10, 63, 10, 1)",10,63,10,1,5.2647833824157715,33.273223876953125,5.768294711346944,179
LSTM,1,1,"(10, 63, 15, 3)",10,63,15,3,2.4005539417266846,6.9976487159729,2.645306922830109,179
LSTM,1,1,"(10, 63, 20, 3)",10,63,20,3,4.149472713470459,18.692859649658203,4.3235239850911205,179
LSTM,1,1,"(10, 100, 10, 1)",10,100,10,1,2.759922504425049,12.40136432647705,3.5215570883455873,179
LSTM,1,1,"(10, 100, 20, 1)",10,100,20,1,4.188225746154785,24.92774772644043,4.992769544695652,179
LSTM,1,1,"(15, 10, 10, 3)",15,10,10,3,4.490776538848877,27.853612899780273,5.277652214742866,179
LSTM,1,1,"(15, 16, 10, 3)",15,16,10,3,4.3057122230529785,25.341081619262695,5.033992612158136,179
LSTM,1,1,"(15, 16, 15, 2)",15,16,15,2,3.3543996810913086,16.92620849609375,4.114147359550184,179
LSTM,1,1,"(15, 16, 20, 1)",15,16,20,1,8.290508270263672,100.40604400634766,10.020281633085352,179
LSTM,1,1,"(15, 25, 10, 3)",15,25,10,3,2.7165932655334473,10.7169828414917,3.273680320601219,179
LSTM,1,1,"(15, 40, 20, 3)",15,40,20,3,2.2494306564331055,8.511449813842773,2.917438913472358,179
LSTM,1,1,"(15, 63, 10, 2)",15,63,10,2,2.0491857528686523,6.9037089347839355,2.6274909961375577,179
LSTM,1,1,"(15, 63, 15, 2)",15,63,15,2,4.002754211425781,22.417797088623047,4.734743613821455,179
LSTM,1,1,"(15, 63, 20, 3)",15,63,20,3,5.545717239379883,39.147918701171875,6.256829764439167,179
LSTM,1,1,"(20, 10, 15, 1)",20,10,15,1,19.972774505615234,593.2416381835938,24.356552263889768,179
LSTM,1,1,"(20, 10, 20, 1)",20,10,20,1,4.27434778213501,24.896072387695312,4.9895964153120955,179
LSTM,1,1,"(20, 16, 10, 2)",20,16,10,2,21.482345581054688,690.3475952148438,26.274466601909232,179
LSTM,1,1,"(20, 16, 15, 1)",20,16,15,1,5.549302101135254,46.839298248291016,6.8439241848731065,179
LSTM,1,1,"(20, 16, 20, 1)",20,16,20,1,13.092528343200684,195.59898376464844,13.985670658379185,179
LSTM,1,1,"(20, 25, 10, 1)",20,25,10,1,8.006062507629395,75.05506896972656,8.663432862885623,179
LSTM,1,1,"(20, 25, 15, 2)",20,25,15,2,8.307347297668457,92.86222076416016,9.636504592649773,179
LSTM,1,1,"(20, 25, 20, 1)",20,25,20,1,7.275167465209961,71.44396209716797,8.452453022476254,179
LSTM,1,1,"(20, 40, 15, 3)",20,40,15,3,5.849433422088623,40.040687561035156,6.327771136903985,179
LSTM,1,1,"(20, 63, 10, 1)",20,63,10,1,8.971283912658691,90.445556640625,9.510286885295574,179
LSTM,1,1,"(20, 100, 10, 3)",20,100,10,3,8.709083557128906,81.81974792480469,9.045426906719477,179
LSTM,1,1,"(20, 100, 15, 3)",20,100,15,3,6.779165744781494,68.40970611572266,8.271016026808475,179
LSTM,1,1,"(25, 10, 15, 1)",25,10,15,1,9.025638580322266,122.06549835205078,11.048325590425492,179
LSTM,1,1,"(25, 10, 20, 1)",25,10,20,1,13.391461372375488,247.85556030273438,15.743429115117658,179
LSTM,1,1,"(25, 16, 15, 1)",25,16,15,1,12.286506652832031,286.0450439453125,16.912866225016757,179
LSTM,1,1,"(25, 25, 20, 1)",25,25,20,1,11.484426498413086,280.1174011230469,16.736708192564237,179
LSTM,1,1,"(25, 40, 20, 1)",25,40,20,1,8.788972854614258,143.4213104248047,11.975863660914175,179
GRU,1,1,"(10, 10, 10, 1)",10,10,10,1,2.185971736907959,7.614588737487793,2.7594544275069652,92
GRU,1,1,"(10, 16, 10, 3)",10,16,10,3,7.2664642333984375,60.706790924072266,7.791456277492178,92
GRU,1,1,"(10, 16, 15, 2)",10,16,15,2,6.491760730743408,51.0984992980957,7.148321432203207,92
GRU,1,1,"(10, 16, 20, 3)",10,16,20,3,4.415568828582764,25.61182403564453,5.06081258649681,92
GRU,1,1,"(10, 25, 10, 3)",10,25,10,3,8.3921537399292,76.65347290039062,8.755196908144935,92
GRU,1,1,"(10, 25, 20, 3)",10,25,20,3,3.9210925102233887,19.779481887817383,4.447412943253346,92
GRU,1,1,"(10, 40, 10, 1)",10,40,10,1,6.922671318054199,59.822208404541016,7.734481779960505,92
GRU,1,1,"(10, 40, 15, 2)",10,40,15,2,2.7798683643341064,12.283121109008789,3.5047283930440014,92
